transaction,item
1,C
1,S
1,M
1,R
2,T
2,Y
2,C
3,P
3,Y
3,C
3,M
4,O
4,W
4,L
5,R
6,O
6,U
6,R
6,L
7,P
8,W
8,C
9,T
9,O
9,W
9,B
9,C
10,C
10,T
10,W
10,B
10,Y
10,F
10,D
11,B
12,F
12,R
12,S
13,C
13,T
14,B
14,S
14,F
14,N
15,F
16,P
17,C
18,S
19,O
20,B
20,P
21,W
22,T
22,C
22,P
22,D
22,N
23,T
23,R
23,O
23,F
23,B
23,C
24,B
24,C
25,Y
26,S
26,R
26,C
27,O
28,B
28,S
28,F
28,C
28,N
29,Y
29,B
29,S
30,H
30,O
30,R
30,S
30,N
31,R
31,O
31,W
31,B
31,S
32,P
32,B
32,O
32,W
32,A
32,S
33,B
33,G
33,D
34,P
34,S
35,F
36,C
37,R
37,O
37,W
37,D
38,C
38,Z
38,N
39,S
39,R
39,C
40,T
40,R
40,W
40,Y
40,D
40,B
40,P
40,S
40,C
41,B
41,Y
42,C
43,B
43,Y
43,C
43,S
43,R
43,N
44,C
45,P
45,B
46,R
47,M
47,B
48,R
48,O
48,B
48,W
48,U
48,H
48,N
49,C
50,H
50,G
50,O
50,W
51,S
51,R
51,C
51,N
52,C
52,S
52,P
53,S
53,B
53,W
54,W
55,C
56,T
56,P
56,B
56,W
56,F
56,R
56,C
57,W
57,B
57,M
57,S
57,C
58,F
58,C
58,W
58,D
58,S
59,W
59,M
59,S
60,F
61,O
61,W
61,R
61,S
62,C
62,W
62,P
63,S
63,B
64,F
64,C
65,R
65,W
65,F
65,D
65,M
65,C
66,S
66,R
66,Y
66,B
66,D
67,C
67,N
68,P
68,O
68,W
69,T
69,O
70,B
70,N
70,M
